self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
No,Yes,Yes,Yes,Yes,Often,Yes,Female,28.0,United States,2014,,,
No,Yes,Yes,Yes,No,Rarely,No,Female,37.0,United States,2014,,,
No,Yes,Yes,Yes,Maybe,Often,No,Male,26.0,Canada,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,No,Other,30.0,United States,2014,,,
No,No,No,Don't Know,No,,No,Male,26.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,Yes,Male,25.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Sometimes,No,Male,27.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Often,Yes,Male,25.0,Canada,2014,,,
No,Yes,Yes,Don't Know,No,Rarely,No,Male,35.0,United States,2014,,,
Yes,Yes,No,Yes,Maybe,Never,No,Male,36.0,United States,2014,,,
No,Yes,Yes,No,Yes,Sometimes,No,Male,26.0,United States,2014,,,
No,No,Don't Know,Yes,No,,No,Male,27.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,30.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,29.0,United States,2014,,,
No,No,Yes,Yes,No,Never,No,Male,25.0,United States,2014,,,
No,Yes,Yes,Yes,Maybe,Often,No,Female,22.0,United States,2014,,,
No,No,No,Don't Know,Maybe,,No,Male,29.0,Latvia,2014,,,
No,Yes,Yes,Yes,No,Rarely,Yes,Male,41.0,United States,2014,,,
No,Yes,Yes,No,Yes,Sometimes,No,Male,29.0,United States,2014,,,
No,No,Yes,Yes,No,Never,No,Male,32.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Female,24.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,No,Male,25.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,25.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Never,No,Female,30.0,United States,2014,,,
No,Yes,Don't Know,Yes,No,Sometimes,No,Male,25.0,United States,2014,,,
Yes,No,No,Don't Know,Maybe,Never,Yes,Male,30.0,United States,2014,,,
Yes,Yes,No,Yes,Yes,Rarely,No,Male,33.0,Germany,2014,,,
